epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,9360.13,0.10703,0.13466,0.8815,0.99555,1,0.995,0.995,0.05592,0.09011,0.77656,0.00703,0.00703,0.00703
152,9422.07,0.10833,0.13152,0.88191,0.99555,1,0.995,0.995,0.0558,0.08989,0.77642,0.0070102,0.0070102,0.0070102
153,9483.92,0.10611,0.12973,0.88247,0.99555,1,0.995,0.995,0.05564,0.09014,0.77629,0.0069904,0.0069904,0.0069904
154,9545.83,0.10671,0.13175,0.88205,0.99564,1,0.995,0.995,0.05555,0.08977,0.77622,0.0069706,0.0069706,0.0069706
155,9607.72,0.10826,0.13364,0.88256,0.99566,1,0.995,0.995,0.05539,0.08848,0.77619,0.0069508,0.0069508,0.0069508
156,9669.64,0.10727,0.13012,0.88086,0.99559,1,0.995,0.995,0.05519,0.08781,0.77614,0.006931,0.006931,0.006931
157,9731.53,0.10798,0.135,0.88248,0.99565,1,0.995,0.995,0.05516,0.08838,0.77612,0.0069112,0.0069112,0.0069112
158,9793.44,0.11004,0.13688,0.88292,0.99566,1,0.995,0.995,0.05498,0.08851,0.77603,0.0068914,0.0068914,0.0068914
159,9855.35,0.10854,0.13141,0.88307,0.99559,1,0.995,0.995,0.05474,0.08857,0.77591,0.0068716,0.0068716,0.0068716
160,9917.29,0.10542,0.13009,0.88083,0.99559,1,0.995,0.995,0.05462,0.0888,0.77588,0.0068518,0.0068518,0.0068518
161,9979.22,0.1071,0.13022,0.88209,0.99559,1,0.995,0.995,0.05448,0.08882,0.77584,0.006832,0.006832,0.006832
162,10041.7,0.10611,0.12892,0.87989,0.99559,1,0.995,0.995,0.05452,0.08938,0.77574,0.0068122,0.0068122,0.0068122
163,10103.7,0.10479,0.13207,0.88086,0.99566,1,0.995,0.995,0.05452,0.08926,0.77569,0.0067924,0.0067924,0.0067924
164,10165.7,0.10514,0.13037,0.88298,0.99571,1,0.995,0.995,0.05453,0.08934,0.77565,0.0067726,0.0067726,0.0067726
165,10227.7,0.10417,0.13189,0.88155,0.99579,1,0.995,0.995,0.05449,0.08961,0.77553,0.0067528,0.0067528,0.0067528
166,10289.5,0.10425,0.12914,0.8812,0.99588,1,0.995,0.995,0.05459,0.08963,0.77555,0.006733,0.006733,0.006733
167,10351.4,0.10465,0.13055,0.88202,0.99597,1,0.995,0.995,0.05451,0.0886,0.77557,0.0067132,0.0067132,0.0067132
168,10413.3,0.10542,0.13442,0.88159,0.99605,1,0.995,0.995,0.0545,0.08855,0.77558,0.0066934,0.0066934,0.0066934
169,10475.3,0.10435,0.13163,0.87858,0.99613,1,0.995,0.995,0.05452,0.08914,0.77555,0.0066736,0.0066736,0.0066736
170,10537.4,0.10428,0.13153,0.88109,0.99622,1,0.995,0.995,0.05461,0.08883,0.77549,0.0066538,0.0066538,0.0066538
